Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
31/12/2011;MINERVA;BEEF3;282.35;1,839.49;0.15;6.52;6.81;7.04;1.19
30/06/2011;MINERVA;BEEF3;;1,826.29;;;;;
31/12/2010;MINERVA;BEEF3;218.87;1,774.86;0.12;8.11;4.24;6.64;0.87
30/06/2010;MINERVA;BEEF3;;1,662.23;;;;;
31/12/2009;MINERVA;BEEF3;;1,410.46;;;;;
31/12/2020;BARDELLA;BDLL4;-56.25;259.49;-0.22;-4.61;40.12;-45.42;-9.88
30/06/2020;BARDELLA;BDLL4;-198.97;251.32;-0.79;-1.26;135.25;-128.34;-27.47
31/12/2019;BARDELLA;BDLL4;-217.28;243.85;-0.89;-1.12;209.25;-105.96;-28.07
30/06/2019;BARDELLA;BDLL4;-77.39;239.15;-0.32;-3.09;-189.14;-18.77;-11.04
31/12/2018;BARDELLA;BDLL4;-75.97;;;;-89.82;-15.65;-11.66
30/06/2018;BARDELLA;BDLL4;-73.56;237.90;-0.31;-3.23;-73.90;-13.57;-13.11
31/12/2017;BARDELLA;BDLL4;-58.74;239.02;-0.25;-4.07;-46.12;-9.47;-11.66
30/06/2017;BARDELLA;BDLL4;-103.91;232.16;-0.45;-2.23;-45.50;-15.22;-14.16
31/12/2016;BARDELLA;BDLL4;-81.71;;;;-31.50;-10.68;-11.20
30/06/2016;BARDELLA;BDLL4;-15.79;235.59;-0.07;-14.92;-13.09;-2.11;-4.65
31/12/2015;BARDELLA;BDLL4;-0.60;227.57;0.00;-378.03;-2.76;-0.08;-1.07
30/06/2015;BARDELLA;BDLL4;8.90;250.75;0.04;28.19;1.85;1.13;0.76
31/12/2014;BARDELLA;BDLL4;11.54;218.27;0.05;18.91;2.19;1.52;0.94
30/06/2014;BARDELLA;BDLL4;-14.21;204.70;-0.07;-14.41;-7.13;-1.81;-3.41
31/12/2013;BARDELLA;BDLL4;-26.76;;;;-10.73;-3.37;-5.08
30/06/2013;BARDELLA;BDLL4;-10.07;205.73;-0.05;-20.44;-4.26;-1.25;-2.26
31/12/2012;BARDELLA;BDLL4;-15.65;200.62;-0.08;-12.82;-6.55;-1.89;-3.47
30/06/2012;BARDELLA;BDLL4;19.84;248.29;0.08;12.52;-0.57;2.25;-0.30
31/12/2011;BARDELLA;BDLL4;61.96;247.47;0.25;3.99;8.64;7.01;4.62
30/06/2011;BARDELLA;BDLL4;;337.19;;;;;
